日付,銘柄名,symbol,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20201230,Ｊフロント,3086,小売業,0.04%,TOPIX Mid400,
20201230,ドトル日レス,3087,小売業,0.01%,TOPIX Small 1,
20201230,マツモトキヨシ,3088,小売業,0.07%,TOPIX Mid400,
20201230,ブロンコＢ,3091,小売業,0.00%,TOPIX Small 1,
20201230,ＺＯＺＯ,3092,小売業,0.07%,TOPIX Mid400,
20201230,トレファク,3093,小売業,0.00%,TOPIX Small 2,
20201230,物語コーポ,3097,小売業,0.01%,TOPIX Small 1,
20201230,ココカラファイン,3098,小売業,0.03%,TOPIX Small 1,
20201230,ミツコシイセタン,3099,小売業,0.04%,TOPIX Mid400,
20201230,東洋紡,3101,繊維製品,0.02%,TOPIX Mid400,
20201230,ユニチカ,3103,繊維製品,0.00%,TOPIX Small 1,
20201230,富士紡ＨＤ,3104,繊維製品,0.01%,TOPIX Small 2,
20201230,日清紡ＨＤ,3105,電気機器,0.02%,TOPIX Mid400,
20201230,クラボウ,3106,繊維製品,0.01%,TOPIX Small 1,
20201230,ダイワボＨＤ,3107,卸売業,0.03%,TOPIX Small 1,
20201230,シキボウ,3109,繊維製品,0.00%,TOPIX Small 2,
20201230,日東紡,3110,ガラス・土石製品,0.03%,TOPIX Small 1,
20201230,トヨタ紡織,3116,輸送用機器,0.02%,TOPIX Mid400,
20201230,マクニカ富士エレＨＤ,3132,卸売業,0.02%,TOPIX Small 1,
20201230,Ｈａｍｅｅ,3134,小売業,0.00%,TOPIX Small 2,
20201230,ラクト・ジャパン,3139,卸売業,0.00%,TOPIX Small 1,
20201230,ウエルシアＨＤ,3141,小売業,0.09%,TOPIX Mid400,
20201230,クリエイトＳＤＨ,3148,小売業,0.03%,TOPIX Small 1,
20201230,グリムス,3150,卸売業,0.00%,TOPIX Small 2,○
20201230,バイタルＫＳＫ,3151,卸売業,0.01%,TOPIX Small 2,○
20201230,八洲電機,3153,卸売業,0.00%,TOPIX Small 2,○
20201230,メディアスＨＤ,3154,卸売業,0.00%,TOPIX Small 2,○
20201230,レスターＨＤ,3156,卸売業,0.01%,TOPIX Small 1,
20201230,ジューテックＨＤ,3157,卸売業,0.00%,TOPIX Small 2,○
20201230,丸善ＣＨＩ,3159,小売業,0.00%,TOPIX Small 2,
20201230,大光,3160,卸売業,0.00%,TOPIX Small 2,
20201230,ＯＣＨＩ・ＨＤ,3166,卸売業,0.00%,TOPIX Small 2,○
20201230,ＴＯＫＡＩ　ＨＤ,3167,卸売業,0.02%,TOPIX Small 1,
20201230,黒谷,3168,卸売業,0.00%,TOPIX Small 2,
20201230,ミサワ,3169,小売業,0.00%,TOPIX Small 2,
20201230,ティーライフ,3172,小売業,0.00%,TOPIX Small 2,
20201230,Ｃｏｍｉｎｉｘ,3173,卸売業,0.00%,TOPIX Small 2,
20201230,ＡＰＨＤ,3175,小売業,0.00%,TOPIX Small 2,
20201230,三洋貿易,3176,卸売業,0.00%,TOPIX Small 2,
20201230,チムニー,3178,小売業,0%,TOPIX Small 2,
20201230,シュッピン,3179,小売業,0.00%,TOPIX Small 2,
20201230,ビューティガレージ,3180,卸売業,0.00%,TOPIX Small 2,
20201230,オイシックスラ大地,3182,小売業,0.01%,TOPIX Small 1,○
20201230,ウイン・パートナーズ,3183,卸売業,0.00%,TOPIX Small 2,○
20201230,ネクステージ,3186,小売業,0.01%,TOPIX Small 1,
20201230,ジョイフル本田,3191,小売業,0.02%,TOPIX Small 1,
20201230,鳥貴族,3193,小売業,0.00%,TOPIX Small 2,
20201230,ホットランド,3196,小売業,0.00%,TOPIX Small 2,
20201230,すかいらーくＨＤ,3197,小売業,0.07%,TOPIX Mid400,
20201230,ＳＦＰＨＤ,3198,小売業,0.00%,TOPIX Small 2,
20201230,綿半ホールディングス,3199,小売業,0.00%,TOPIX Small 2,
20201230,ニッケ,3201,繊維製品,0.01%,TOPIX Small 1,
20201230,ダイトウボウ,3202,繊維製品,0.00%,TOPIX Small 2,
20201230,トーア紡,3204,繊維製品,0.00%,TOPIX Small 2,
20201230,ダイドー,3205,繊維製品,0.00%,TOPIX Small 2,
20201230,ヨシックス,3221,小売業,0.00%,TOPIX Small 2,
20201230,Ｕ．Ｓ．Ｍ．Ｈ,3222,小売業,0.01%,TOPIX Small 1,
20201230,三栄建築,3228,不動産業,0.00%,TOPIX Small 2,
